TimeStamp,OficialCompra,OficialVenta,Turista,BlueCompra,BlueVenta
"10/20/2020, 22:04:57","77,27","83,27","137,40","174,00","180,00"
"10/20/2020, 22:06:38","77,27","83,27","137,40","174,00","180,00"
"10/21/2020, 21:16:43","77,32","83,32","137,48","177,00","183,00"
"21/10/2020, 23:01:52","77,32","83,32","137,48","177,00","183,00"
"21/10/2020, 23:09:43","77,32","83,32","137,48","177,00","183,00"
"22/10/2020, 13:26:23","77,71","83,71","138,12","179,00","185,00"
"24/10/2020, 16:54:56","77,85","83,85","138,35","189,00","195,00"
"24/10/2020, 16:57:48","77,85","83,85","138,35","189,00","195,00"
"10/12/2020, 20:34:24","81,84","87,84","144,94","140,00","146,00"
"10/12/2020, 20:37:05","81,84","87,84","144,94","140,00","146,00"
